installation_type,vessel_name,start_date,end_date,installation time,windfarm_name,,,
turbine,Wind Osprey,5/11/2021 1:00,5/12/2021 3:05,,Triton Knoll,,,
turbine,Wind Osprey,5/12/2021 4:11,5/13/2021 11:08,,Triton Knoll,,,
turbine,Wind Osprey,5/13/2021 13:17,5/14/2021 14:05,,Triton Knoll,,,
turbine,Wind Osprey,5/14/2021 15:26,5/15/2021 16:14,,Triton Knoll,,,
turbine,Wind Osprey,5/15/2021 17:08,5/17/2021 1:08,,Triton Knoll,,,
turbine,Wind Osprey,5/19/2021 20:05,5/23/2021 4:14,,Triton Knoll,,,
turbine,Wind Osprey,5/23/2021 6:12,5/24/2021 17:06,,Triton Knoll,,,
turbine,Wind Osprey,5/24/2021 19:01,5/25/2021 17:14,,Triton Knoll,,,
turbine,Wind Osprey,5/25/2021 18:04,5/27/2021 20:00,,Triton Knoll,,,
turbine,Wind Osprey,5/27/2021 22:00,5/29/2021 1:01,,Triton Knoll,,,
